City_ID,City,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Ciudad Guayana,VE,-62.6528,8.3533,77.52,88,100,5.3,overcast clouds
159,Mopti,ML,-4.0,14.6667,85.93,49,11,13.02,few clouds
160,Torbay,CA,-52.7314,47.6666,55.27,89,1,9.22,clear sky
161,Acajutla,SV,-89.8275,13.5928,79.66,83,54,4.34,broken clouds
162,Portland,US,-122.6762,45.5234,69.21,67,17,1.01,few clouds
163,Nishihara,JP,127.7558,26.1842,87.08,70,40,16.11,scattered clouds
164,Paamiut,GL,-49.6678,61.994,40.95,62,100,7.87,overcast clouds
165,Port Blair,IN,92.75,11.6667,77.04,88,90,6.91,overcast clouds
166,Port Moresby,PG,147.1797,-9.4431,83.62,79,75,9.22,broken clouds
167,Airai,TL,125.4092,-8.9266,78.42,42,33,3.56,scattered clouds
168,Urubichá,BO,-62.95,-15.3833,81.91,58,14,5.75,few clouds
169,Chokurdakh,RU,147.9167,70.6333,26.71,92,100,7.94,overcast clouds
170,Port Elizabeth,ZA,25.5701,-33.918,50.09,81,20,13.8,few clouds
171,Cauquenes,CL,-72.3225,-35.9671,45.16,59,0,15.08,clear sky
172,Manali,IN,80.2667,13.1667,82.49,78,60,9.95,light rain
173,Cherskiy,RU,161.3,68.75,27.07,94,100,12.12,overcast clouds
174,Kaohsiung City,TW,120.3133,22.6163,89.04,69,40,1.99,scattered clouds
175,Kahului,US,-156.47,20.8947,87.82,69,40,26.46,scattered clouds
176,Los Llanos de Aridane,ES,-17.9182,28.6585,67.75,83,0,10.36,clear sky
177,Linxia Chengguanzhen,CN,103.2064,35.6003,56.53,74,100,1.23,light rain
178,Cayenne,GF,-52.3333,4.9333,83.08,78,20,7.0,few clouds
179,Dongfeng,CN,125.5118,42.6403,63.0,89,99,18.25,light rain
180,La Libertad,EC,-80.9,-2.2333,69.28,82,100,10.94,overcast clouds
181,Chui,UY,-53.4616,-33.6971,54.95,85,100,0.56,overcast clouds
182,Yinchuan,CN,106.2731,38.4681,68.47,17,94,10.74,overcast clouds
183,Ritchie,ZA,24.6028,-29.038,43.81,59,0,10.89,clear sky
184,Songjianghe,CN,127.479,42.1859,55.83,94,100,7.4,overcast clouds
185,San Joaquin,US,-121.3011,37.9333,89.15,25,1,5.75,clear sky
186,Ixtapa,MX,-105.2,20.7,76.91,90,57,2.21,broken clouds
187,Aklavik,CA,-135.0107,68.2191,34.63,95,100,15.05,overcast clouds
188,Svobodnyy,RU,128.1333,51.4,46.38,47,23,8.3,few clouds
189,Kaeo,NZ,173.7833,-35.1,66.33,77,100,12.46,light rain
190,São Borja,BR,-56.0044,-28.6606,68.97,94,100,5.1,overcast clouds
191,Jieshi,CN,115.8257,22.8134,85.95,73,21,16.02,light rain
192,Cairns,AU,145.7667,-16.9167,102.07,72,3,10.36,clear sky
193,Beloha,MG,45.05,-25.1667,69.39,69,2,5.46,clear sky
194,Touros,BR,-35.4608,-5.1989,76.1,83,8,12.19,clear sky
195,Zhangjiakou,CN,114.8794,40.81,64.94,58,55,4.41,broken clouds
196,Port Augusta,AU,137.7667,-32.5,68.14,30,0,18.25,clear sky
197,Daru,PG,143.2092,-9.0763,83.32,71,90,8.99,overcast clouds
198,Atuona,PF,-139.0333,-9.8,78.1,75,9,20.38,clear sky
199,Arraial do Cabo,BR,-42.0278,-22.9661,71.1,92,100,9.13,light rain
200,Bethel,US,-73.414,41.3712,65.91,87,1,3.44,clear sky
201,Ulladulla,AU,150.4667,-35.35,72.5,49,25,2.51,scattered clouds
202,Ola,RU,151.2833,59.5833,43.79,69,100,9.06,overcast clouds
203,Cabo San Lucas,MX,-109.9124,22.8909,82.51,88,90,4.61,overcast clouds
204,Les Cayes,HT,-73.75,18.2,78.84,77,41,2.82,scattered clouds
205,Henties Bay,NA,14.2845,-22.116,52.86,92,10,6.71,clear sky
206,Mar del Plata,AR,-57.5575,-38.0023,53.62,66,90,4.0,light rain
207,Namwala,ZM,26.4384,-15.7504,79.52,39,100,4.36,overcast clouds
208,Peace River,CA,-117.286,56.2501,55.71,32,20,20.71,few clouds
209,Wajid,SO,43.2471,3.8093,71.62,85,5,14.29,clear sky
210,Bosaso,SO,49.1816,11.2842,85.77,64,0,4.65,clear sky
211,Edd,ER,41.6925,13.9297,88.03,67,80,1.14,broken clouds
212,Xining,CN,101.7667,36.6167,56.05,55,100,2.93,overcast clouds
213,Guerrero Negro,MX,-114.0611,27.9769,75.2,72,34,14.83,scattered clouds
214,Altay,CN,88.1167,47.8667,32.13,62,91,1.72,overcast clouds
215,Stantsionno-Oyashinskiy,RU,83.8245,55.4664,34.63,89,100,7.92,overcast clouds
216,Dikson,RU,80.5464,73.5069,33.64,91,100,9.48,overcast clouds
217,Provideniya,RU,-173.3,64.3833,29.17,69,0,1.34,clear sky
218,Arrondissement de Thiers,FR,3.5,45.8333,68.32,61,100,16.62,overcast clouds
219,Freetown,SL,-13.2299,8.484,76.17,91,100,7.38,light rain
220,Kutum,SD,24.6667,14.2,75.51,28,64,8.39,broken clouds
221,Katsuura,JP,140.3,35.1333,78.19,73,8,11.54,clear sky
222,Santiago de Chuco,PE,-78.1833,-8.15,51.31,80,100,3.49,moderate rain
223,Santa Ana,US,-117.8678,33.7456,92.77,29,20,1.99,few clouds
224,Dicabisagan,PH,122.4157,17.0818,84.56,75,98,7.81,light rain
225,San Jerónimo,PE,-75.2829,-11.9472,53.51,74,50,2.37,scattered clouds
226,Nelson Bay,AU,152.15,-32.7167,78.3,50,8,7.72,clear sky
227,Mopipi,BW,24.8833,-21.1833,65.03,17,0,8.14,clear sky
228,Santa Cruz de la Sierra,BO,-63.1667,-17.8,85.46,58,0,14.97,clear sky
229,Pevek,RU,170.3133,69.7008,25.66,85,96,19.73,overcast clouds
230,Hokitika,NZ,170.9667,-42.7167,56.39,58,100,5.88,overcast clouds
